market,market_short,mean,std,skewness,kurtosis,n_obs,shapiro_stat,shapiro_p,jb_stat,jb_p,dw_stat
Fed Rate Decision (Dec 2025),Fed,-2.538619720941669e-20,0.0054186744032289295,-7.294262998657913,162.2441774580933,3280,0.35915446281433105,0.0,3626586.422009776,0.0,2.0510938163352215
NYC Mayoral Election 2025,NYC,3.788984658121894e-20,0.0017287272855549928,1.6023163918146606,89.86484044209634,2747,0.572525143623352,0.0,925505.4156036172,0.0,2.0864455128470394
