n_obs,beta,alpha,r_squared,r_squared_adj,beta_se,beta_tstat,beta_pvalue,alpha_pvalue,correlation,avg_price,avg_spread,avg_depth,price_volatility,ofi_volatility,segment,start_hours,end_hours
862,7.643653793346915e-08,9.029631659115824e-06,0.2563676406373745,0.255502951847418,8.614885345267227e-09,8.872612329711528,7.144971506955042e-19,0.4336628987449498,0.5063276020891764,0.947509860788863,0.0013074245939675177,8426.330440835265,0.00039710424211456447,2630.480711519388,Last 2 hours,0,2.0
1999,5.468887214832314e-08,-2.488273044573518e-06,0.19636693546310358,0.19596451530059134,1.0691415491196311e-08,5.115213433932662,3.133863923562456e-07,0.7507566832311376,0.4431330900114433,0.9448689344672336,0.0012806403201600803,8902.076585792896,0.00038195796874640627,3094.929705005371,2-6 hours before,2,6.0
11212,4.453439413760944e-08,2.096298073497177e-06,0.09935465607687188,0.09927431304886802,7.713242964128597e-09,5.773757464236796,7.752300227193131e-09,0.5833916737990628,0.3152057361102561,0.9111564395290759,0.001534605779521941,10236.47820326436,0.00042797331318424997,3029.1114503761464,6-24 hours before,6,24.0
14694,5.8081756803528635e-09,-2.1955453851235145e-06,0.037026215557455555,0.036960671466491624,3.320523371130343e-09,1.7491747628855556,0.08026081507568572,0.30265307077255155,0.19242197264729766,0.9356598951953178,0.0011312780726827213,35948.801743909076,0.0002649539646647432,8777.793122539968,1-3 days before,24,72.0
24334,1.0323573802142696e-08,1.2965194456970585e-06,0.04305919172777317,0.04301986323820095,4.632489767627072e-09,2.2285151872943696,0.025846179726351,0.551599996427115,0.20750708837940945,0.9253302991698857,0.0011818443330319686,20316.375924837677,0.0003486822201735411,7008.622562739281,3-7 days before,72,168.0
48169,3.4670661721706635e-08,-8.433273324056285e-07,0.10453175543665871,0.1045131645290962,4.643690193772081e-09,7.466187509279893,8.255168859790103e-14,0.5685346863994063,0.3233137105612769,0.9265583674147273,0.0012129793020407295,21320.613519275885,0.0003479526446346078,3244.7566631256873,More than 7 days before,168,inf
