event_type,count,pct,mean_ofi,std_ofi,mean_price_change,std_price_change,beta,r_squared
no_change,1155,42.03056768558952,0.0,0.0,0.0,0.0,,
both_down,1019,37.08151382823872,-637.2751422963689,43911.33854821041,-0.00036261040235525016,0.002623055076342513,2.2365737752213682e-08,0.14018611145100748
both_up,284,10.334788937409025,18328.547852112675,62964.3934911112,0.0014806338028169024,0.0022939030311478143,6.35963803368241e-09,0.030472264831658265
ask_down_only,99,3.6026200873362444,-1592.7376767676765,6693.2047309381405,-0.00018181818181818983,0.00030684824287561754,1.1953341486731122e-08,0.06798288498899242
bid_down_only,74,2.692867540029112,-427.78621621621613,7848.891820427726,-0.00018918918918918787,0.00040292341553405244,2.6616330113822234e-08,0.26882398937611335
bid_up_only,55,2.0014556040756912,4302.967818181818,6089.332863242838,0.0005454545454545278,0.00014506471329642077,1.9590865241331054e-09,0.006762746306810217
ask_up_only,49,1.7831149927219796,4072.261836734694,7959.937957310208,0.0005612244897959449,0.00024222607082589602,1.0345246227477936e-08,0.11557376463183415
