Market,Variance_Total,Variance_Explained,Variance_Residual,Pct_Explained,Pct_Residual
Fed,8.35106018221351e-06,5.599698450063141e-07,7.791090337207315e-06,6.705374321202533,93.29462567879888
NYC,1.2148408919080247e-07,6.043504959364015e-09,1.1544058423144091e-07,4.974729612428594,95.02527038757343
