phase,spread_mean,spread_median,spread_std,spread_pct_mean,spread_pct_std,n_snapshots,ofi_r2,ofi_config,tfi_r2,tfi_config
Phase 1: Early,0.0011853300154046657,0.001,0.0005244595139467356,0.1282941935505194,0.05692987909812393,33756,0.1594737915303959,90min/Abs (200k),0.1419395071683487,90min/Winsorized
Phase 2: Middle,0.0012270114942528724,0.001,0.000748541482515093,0.13295673306061329,0.08244877758285202,33756,0.477660938374619,90min/Abs (100k),0.1640842605713759,90min/Pctl (1%-99%)
Phase 3: Near Expiry,0.0012818294922684959,0.001,0.0008476834531460285,0.13824435847149813,0.09308510586729814,33758,0.4428149054510767,45min/Z-Score (3),0.1277248114248602,45min/Z-Score (3)
