n_obs,beta,alpha,r_squared,r_squared_adj,beta_se,beta_tstat,beta_pvalue,alpha_pvalue,correlation,avg_price,avg_spread,price_volatility,ofi_volatility,ci_lower,ci_upper,phase,date_range
741,3.3502612932879573e-06,0.003805869901509412,0.1353950231940071,0.13422505705489196,4.3171822150785704e-07,7.760296245052015,8.473122991588272e-15,0.47991293818289416,0.3679606272334132,0.9114608636977057,0.0012456938141434937,0.1614432978861594,17731.386286746085,2.504109127662872e-06,4.196413458913043e-06,Phase 1: Early,Oct 15 - Oct 21
998,2.7323182985668736e-06,-0.00864747809816844,0.23316715668098253,0.23239724418769037,4.810918208463399e-07,5.679411247857345,1.3515915865574643e-08,0.11923968142453167,0.48287385172628905,0.9326673346693388,0.0012188975954292908,0.1942272826903633,34325.164880028395,1.7893956564512514e-06,3.6752409406824958e-06,Phase 2: Middle,Oct 21 - Oct 28
1008,9.884536998520148e-07,0.0018253822414297529,0.1760595064494619,0.17524048011392457,2.5752304229360413e-07,3.8383116751357362,0.00012388317429205811,0.7270176838423715,0.41959445474107687,0.9276215277777778,0.0011811412354859833,0.189493645111932,80439.25852019568,4.837178117673655e-07,1.493189587936664e-06,Phase 3: Near Expiry,Oct 28 - Nov 04
