Market,Avg_Depth_Mean,Avg_Depth_Std,Power_Law_a,Power_Law_lambda,SE_lambda,R_squared,N_windows
Fed,2908335.7709254837,280389.34167029767,0.001060644315675231,0.528368423387898,1.076492160241905,0.002477438945245934,99
NYC,11113265.557812283,9553565.990734441,1.7800993896890772e-08,-0.0764868549169591,0.11839678755338914,0.0010913302382008537,384
