level_config,time_window,method,n_levels,r_squared,rmse,best_alpha,l1_ratio,n_nonzero_coefs,coefficients
L5,30,Ridge,5,0.2673875823915538,0.26816889409734407,100.0,,5,"[0.037052324767577346, 0.02765891241979903, 0.062020985640692444, 0.04357094447416589, 0.014724427837158442]"
L5,30,Lasso,5,0.2664767665331843,0.26833554197718085,0.01,1.0,5,"[0.033289333469378526, 0.02253821961033017, 0.07125140122130683, 0.043065299254159056, 0.004626747939696519]"
L5,30,ElasticNet,5,0.26522282434960665,0.26856480095816243,0.1,0.1,5,"[0.032025758122875565, 0.025988234101011698, 0.062290944361307506, 0.04128561694797561, 0.009444214901025679]"
L5,45,OLS_L1,1,0.17277458616879915,0.349521246635308,,,1,[0.15973554846613766]
L5,45,OLS_Cumulative,5,0.2994185244271004,0.3216554923145846,,,1,[0.21028145794895892]
L5,45,Ridge,5,0.30568971478918294,0.32021262141159446,100.0,,5,"[0.04931129181394824, 0.06145437814743296, 0.0545932407116421, 0.04913466998778702, 0.023064808120326113]"
L5,45,Lasso,5,0.30556099884390764,0.3202423016288272,0.01,1.0,5,"[0.04633153732394534, 0.06739275540812563, 0.058366308212138084, 0.04906084941366223, 0.011871035322387572]"
L5,45,ElasticNet,5,0.29607967889227504,0.3224210574265405,0.1,0.3,5,"[0.0351514017774584, 0.06194529294177491, 0.05307863409155565, 0.0419155970144545, 0.00827129567821541]"
L5,60,OLS_L1,1,0.14565727073182133,0.4177151861084981,,,1,[0.1724766405525929]
L5,60,OLS_Cumulative,5,0.3071863990065048,0.37615981915354474,,,1,[0.2504754652582524]
L5,60,Ridge,5,0.3159820609932593,0.3737644108735143,100.0,,5,"[0.037775933273270966, 0.08997392979381012, 0.07060658759233832, 0.05184790806790711, 0.038037224118856204]"
L5,60,Lasso,5,0.317791954784606,0.3732695978546113,0.01,1.0,5,"[0.01107146278147428, 0.12578591937332825, 0.0794242608901861, 0.04171474468851379, 0.02651631463089597]"
L5,60,ElasticNet,5,0.3165859936889601,0.37359937251532505,0.1,0.1,5,"[0.02481327877215209, 0.10439954290129488, 0.07378442886145697, 0.046839294480488854, 0.031030894188002603]"
L5,90,OLS_L1,1,0.16882591790100387,0.49151473063382706,,,1,[0.22151855088091288]
L5,90,OLS_Cumulative,5,0.2910761547659907,0.4539315135881918,,,1,[0.29086660135869213]
L5,90,Ridge,5,0.3015164222888368,0.45057660848672904,100.0,,5,"[0.025386396637160063, 0.09500099296362166, 0.08205607708110756, 0.0746129162149866, 0.03582550161933545]"
L5,90,Lasso,5,0.26409338635134616,0.4624895187051547,0.1,1.0,3,"[0.0, 0.0964448063143948, 0.07312991569442899, 0.03826985079432414, 0.0]"
L5,90,ElasticNet,5,0.30194300531040563,0.45043899774474694,0.1,0.3,4,"[0.0, 0.11688305317612609, 0.0938049718411104, 0.06818593603201119, 0.011569066038896889]"
L10,1,OLS_L1,1,0.056869712350265056,0.06145717318456932,,,1,[0.01509132076627817]
L10,1,OLS_Cumulative,10,0.2819645908631143,0.05362405664151873,,,1,[0.0336034618397574]
L10,1,Ridge,10,0.29601841770477066,0.05309668199836929,100.0,,10,"[0.007292857332406844, 0.004623092136028728, 0.008578910852876315, 0.005863245513007349, 0.00576301154721292, 0.003594862937956013, 0.004495957213556005, 0.006896751944144057, 0.004033708722141204, 0.008535823156881403]"
L10,1,Lasso,10,0.2173084634974196,0.05598633689844828,0.01,1.0,10,"[0.0012215666786308925, 0.0006608525776143113, 0.005334727126498878, 0.004055816939834487, 0.0037759902892668903, 0.0004960712546679256, 0.002884540669870525, 0.0035697913645322495, 0.0009650501521365927, 0.0052781860405672395]"
L10,1,ElasticNet,10,0.25733066717577946,0.054536150538801044,0.01,0.7,10,"[0.003044733430659097, 0.00185227276463796, 0.006302510880329974, 0.004595335055112053, 0.004368518313725438, 0.0014316839636580292, 0.003365060617405948, 0.004565573642780466, 0.0018904223242343146, 0.006248653991329827]"
L10,5,OLS_L1,1,0.09857100985128553,0.12297867423238867,,,1,[0.04066667353436707]
L10,5,OLS_Cumulative,10,0.28600299407399865,0.10944911183089956,,,1,[0.0692706616955115]
L10,5,Ridge,10,0.303369352029331,0.1081098674632687,100.0,,10,"[0.015539046557546671, 0.009483848240272099, 0.018114683246830115, 0.006000761069380428, 0.005519541448962439, 0.00807989717099227, 0.006884555411013907, 0.010778431913140157, 0.009607940144350501, 0.018417095690018065]"
L10,5,Lasso,10,0.2888092826941563,0.10923381107338637,0.01,1.0,10,"[0.010136739281542788, 0.006565873961076695, 0.017687672129646257, 0.005386547143907348, 0.002147328383104191, 0.005967442826417523, 0.005763801051785936, 0.00800287134799002, 0.007129536168874812, 0.015707222203837058]"
L10,5,ElasticNet,10,0.2864488526595004,0.10941493350359535,0.1,0.1,10,"[0.009882037326672043, 0.006658307499523924, 0.01614952663801297, 0.005864508156778567, 0.0027171282662891835, 0.006003217201674119, 0.0059468900008483525, 0.007675653507119626, 0.007260567617179372, 0.014535743661202818]"
L10,10,OLS_L1,1,0.14763142285998943,0.16999387185244194,,,1,[0.07074715059593793]
L10,10,OLS_Cumulative,10,0.32510186528336316,0.1512650739871492,,,1,[0.10498549031409554]
L10,10,Ridge,10,0.3507541668587284,0.14836249756583644,100.0,,10,"[0.0325346547381635, 0.01671743949458904, 0.014865063906516747, 0.00963002168405018, 0.0009147814334473811, 0.023145654574716755, 0.004892309049477362, 0.023673219677109992, 0.013903636791344258, 0.02391783694090268]"
L10,10,Lasso,10,0.34388555515651753,0.14914522368165012,0.01,1.0,9,"[0.028273580504757905, 0.013448741271785598, 0.015138267648052489, 0.007255647342128178, 0.0, 0.01981353756686294, 0.0033467739316820878, 0.021773507688926625, 0.011094524296862083, 0.022189933306916324]"
L10,10,ElasticNet,10,0.284739513087245,0.15572260752278927,0.1,0.3,9,"[0.016802690114944705, 0.006790836461372357, 0.015200380947538712, 0.00349296057225634, 0.0, 0.009181833477409978, 0.004391001659574545, 0.014426671950955256, 0.006840625259211423, 0.0160857196102749]"
L10,15,OLS_L1,1,0.1857340007066418,0.19999091717288367,,,1,[0.09551527458988747]
L10,15,OLS_Cumulative,10,0.37208420932529584,0.17562155740624566,,,1,[0.1351909878869061]
L10,15,Ridge,10,0.3961942217390867,0.17221689474632546,100.0,,10,"[0.04043056308784863, 0.016654438273320867, 0.02327863599228047, 0.00633910192309314, 0.002800270793815569, 0.014207636374528416, 0.01665176753280626, 0.02511892341944582, 0.022102957261318276, 0.031169866533706625]"
L10,15,Lasso,10,0.39195243564505944,0.17282075510485564,0.01,1.0,9,"[0.03763830982285488, 0.012495647657744342, 0.026168093785855308, 0.003576371096879694, 0.0, 0.012760591144379173, 0.013832291536964652, 0.02380875947427432, 0.018834062673121627, 0.030452396101191825]"
L10,15,ElasticNet,10,0.3543195044195737,0.17808853265618366,0.1,0.3,9,"[0.026525105529144773, 0.007071795251863693, 0.025042754187617703, 0.0015470982735812347, 0.0, 0.009024886209666782, 0.009062186186968985, 0.018435762432104565, 0.013083453361353076, 0.024881013646696978]"
L10,20,OLS_L1,1,0.1758117146744851,0.23128089055528842,,,1,[0.1068194744825628]
L10,20,OLS_Cumulative,10,0.3506914614002683,0.20528257620309687,,,1,[0.15086521922629456]
L10,20,Ridge,10,0.3772353794957778,0.20104278802271683,100.0,,10,"[0.04079212949916313, 0.030019663759044624, 0.015729205474490505, 0.021393553121653308, -0.002531896155661857, 0.010766776467798538, 0.011961611640279967, 0.021154332557693615, 0.022924499266500746, 0.0438428209454007]"
L10,20,Lasso,10,0.37434099962654954,0.20150943275385408,0.01,1.0,9,"[0.039364547435972556, 0.027969447390086152, 0.012112026633516739, 0.01985951094872571, 0.0, 0.006841878434032613, 0.008892491792507272, 0.02063894104279629, 0.019750312938561082, 0.04514697469463403]"
L10,20,ElasticNet,10,0.34678389464678006,0.20589934934612164,0.1,0.3,9,"[0.028785107553513236, 0.021220963523024335, 0.010923385622532445, 0.015452781725067451, 0.0, 0.006715267964791464, 0.006145027792127013, 0.017749473129718522, 0.015214397275765741, 0.03542810431592205]"
L10,30,OLS_L1,1,0.1474281024196339,0.2892922304417943,,,1,[0.12029882932127096]
L10,30,OLS_Cumulative,10,0.36357261029727694,0.24994571412066455,,,1,[0.18891517388173856]
L10,30,Ridge,10,0.3895327478499181,0.24479494704917715,100.0,,10,"[0.032098074859929625, 0.030675079122800434, 0.043092367811354455, 0.01774062614599597, -0.010782466683318176, 0.015038017095558031, 0.017527503080184692, 0.038800098307860666, 0.01929040271841445, 0.05510976276696617]"
L10,30,Lasso,10,0.20699307763943653,0.2790035649143721,0.1,1.0,3,"[0.0, 0.0, 0.032752176658271855, 0.0, 0.0, 0.0, 0.0, 0.008188052750703174, 0.0, 0.03905736833073224]"
L10,30,ElasticNet,10,0.3371791430433866,0.25507585212737455,0.1,0.5,8,"[0.007374057289639936, 0.020249070439991555, 0.04221882557100533, 0.002719665262965423, 0.0, 0.005128482434948378, 0.0, 0.029735506256102957, 0.005355096361837723, 0.05288834865205865]"
L10,45,OLS_L1,1,0.17277458616879915,0.349521246635308,,,1,[0.15973554846613766]
L10,45,OLS_Cumulative,10,0.3879880475490033,0.30063642508516925,,,1,[0.2393706063936988]
L10,45,Ridge,10,0.41386835706351033,0.29421121972958264,100.0,,10,"[0.04221621934507303, 0.06636234859067036, 0.036132310906732856, 0.0038653406084018724, -0.007495736921487957, 0.030708213169544883, 0.03138333354204461, 0.03511498835159628, 0.016724211830786227, 0.06237788850451025]"
L10,45,Lasso,10,0.2935233661679968,0.3230059688832742,0.1,1.0,5,"[0.0, 0.053237112181985076, 0.014755898566386049, 0.0, 0.0, 0.002253687921384285, 0.03171043500852719, 0.0, 0.0, 0.04553345413181377]"
L10,45,ElasticNet,10,0.3812747481392934,0.3022808029282709,0.1,0.5,7,"[0.01666965807684928, 0.06482801172557325, 0.023911459825190207, 0.0, 0.0, 0.019859131965929738, 0.02617788600899203, 0.023068023433879207, 0.0, 0.0592378476131377]"
L10,60,OLS_L1,1,0.14565727073182133,0.4177151861084981,,,1,[0.1724766405525929]
L10,60,OLS_Cumulative,10,0.37372431054727306,0.35764073387345185,,,1,[0.27627391066914797]
L10,60,Ridge,10,0.408700670812737,0.3475104698834164,100.0,,10,"[0.02663309544399066, 0.07034623926659839, 0.058779562807013866, 0.015227431160194177, -0.00024962140546699163, 0.043072284941783855, 0.010976015838303904, 0.022364578561456353, 0.024656337656153483, 0.082195659662469]"
L10,60,Lasso,10,0.3359079827118965,0.3682801661601733,0.1,1.0,4,"[0.0, 0.06541195800625786, 0.03067744440725575, 0.0, 0.0, 0.022748447756971178, 0.0, 0.0, 0.0, 0.08611748891056917]"
L10,60,ElasticNet,10,0.3736513845748385,0.3576615558050161,0.1,0.7,5,"[0.0, 0.07527298272234964, 0.04317316826835436, 0.0, 0.0, 0.035376927183505914, 0.0, 0.0035954792245508826, 0.0, 0.09251610360095067]"
L10,90,OLS_L1,1,0.16882591790100387,0.49151473063382706,,,1,[0.22151855088091288]
L10,90,OLS_Cumulative,10,0.3768654800268856,0.42558023222414315,,,1,[0.33096625923871376]
L10,90,Ridge,10,0.41280633952118273,0.4131247566006671,100.0,,10,"[0.035316312487550364, 0.07598560854438462, 0.0506756467382858, 0.03407163021437505, -0.016074958130399275, 0.0577883060783689, 0.032810422633757316, 0.01628245511026348, 0.015015751050365888, 0.1062201449423809]"
L10,90,Lasso,10,0.36672192224627087,0.4290301063450924,0.1,1.0,4,"[0.0, 0.09634286958956795, 0.022172347773619046, 0.0, 0.0, 0.03292384925711236, 0.0, 0.0, 0.0, 0.12625344033163471]"
L10,90,ElasticNet,10,0.37621004558261595,0.4258039934048688,0.1,0.9,4,"[0.0, 0.10036781861879202, 0.025417757681211343, 0.0, 0.0, 0.03805266849877593, 0.0, 0.0, 0.0, 0.12831888023920515]"
L50pct,1,OLS_L1,1,0.056869712350265056,0.06145717318456932,,,1,[0.01509132076627817]
L50pct,1,OLS_Cumulative,25,0.3485119773272751,0.051078713727552114,,,1,[0.03735902972840197]
L50pct,1,Ridge,25,0.37568441696649313,0.05000216650154956,100.0,,25,"[0.006610201479401231, 0.002804178986535647, 0.0057216318489288496, 0.003615798527323462, 0.0028837287104443166, 0.0017903280460527897, 0.0016281368228780002, 0.003989307297590477, 0.001596431389039988, 0.003265432604408759, 0.0026969551289412635, 0.002858308917075363, 0.0023783493599464924, 0.0036369997028146694, 0.004025084817658115, 0.005290066343849579, 0.004082420229982298, 0.0036539195995426333, 0.00321675595702407, 0.0032698015228976402, 0.0018423901010221455, 0.0029760349730207176, 0.0014804353513277707, -3.5285776582046093e-06, 0.0002365213018761435]"
L50pct,1,Lasso,25,0.3746097107860604,0.050045185234802704,0.001,1.0,23,"[0.0060511409090619785, 0.002498966137144151, 0.005552923561941, 0.0035503929024412175, 0.0027894015938503434, 0.0015791335898236163, 0.0015908863636304078, 0.0038022848693381743, 0.0014167877248629527, 0.003191767977117082, 0.00271053973959244, 0.0027736888083141403, 0.002362074411373842, 0.0036266804352118468, 0.003992118462306046, 0.005255204109377949, 0.0038922797943777244, 0.003452804989903114, 0.0030199055818366585, 0.002945885807488314, 0.0014687150663806041, 0.0026588526964649406, 0.0010809992226489924, 0.0, 0.0]"
L50pct,1,ElasticNet,25,0.34929753459593205,0.05104790935633281,0.01,0.5,22,"[0.0037103125779903777, 0.0012890223255161454, 0.004772825463100164, 0.003227629768289674, 0.002432204395230271, 0.0006895534221319341, 0.001493695098077085, 0.002964991583961713, 0.0007100029871176709, 0.002868426751435635, 0.002688188915307668, 0.002336673618128817, 0.0021520820260925457, 0.0035105797050559878, 0.0037490505834993, 0.0050131634053304595, 0.0030639239108688422, 0.0026091405102982037, 0.002213573655436735, 0.0015140197265392258, 2.1241110817107642e-05, 0.0012964501303469802, 0.0, 0.0, 0.0]"
L50pct,5,OLS_L1,1,0.09857100985128553,0.12297867423238867,,,1,[0.04066667353436707]
L50pct,5,OLS_Cumulative,25,0.35263231176357346,0.10421723718960792,,,1,[0.07691748907024833]
L50pct,5,Ridge,25,0.38405597196708197,0.1016563871201197,100.0,,25,"[0.014812465710433147, 0.005458992923183835, 0.010005809990253283, 0.0035685247490941895, 0.002685841449903379, 0.0063485440898046076, 0.0007685448021911034, 0.005540397348808995, 0.0037671159802523725, 0.004485654821555642, 0.0030130951232783996, 0.0034614038840687362, 0.004788775140708201, 0.012119289429244845, 0.005493812408180038, 0.015478516512037084, 0.003201753909647743, 0.008661543809207894, 0.0048348209482066366, 0.004976070954438773, 0.005967342594675252, 0.006837509129258494, 0.003181587336788983, -0.0017886060435398316, 0.0008736691689746373]"
L50pct,5,Lasso,25,0.36299238578166093,0.10337995960202451,0.01,1.0,20,"[0.00968926486229827, 0.0036527800847135127, 0.010809070369421579, 0.0034577637782330257, 0.0, 0.004669205321915643, 0.0011763182519880584, 0.0038452822802189247, 0.0024684196400888113, 0.004669565114271275, 0.0019203739080909008, 0.0027345105178266725, 0.004362639398833119, 0.01266415499089167, 0.004769675374991539, 0.015742232806876578, 0.0, 0.007979955718885521, 0.00338258894665302, 0.00045000571113286035, 0.0019404678858023624, 0.003300136787291297, 0.0, 0.0, 0.0]"
L50pct,5,ElasticNet,25,0.36138000172688645,0.10351071380993977,0.1,0.1,22,"[0.009112204172057655, 0.0038303526157636514, 0.010148734663193595, 0.003731307744654623, 0.00033879817045206925, 0.004367425437393063, 0.0016030297317886745, 0.0036649671513277484, 0.0027938196170357275, 0.0045339098076390754, 0.0023465004149643247, 0.0030957022128226845, 0.004465939184106573, 0.011525843078817197, 0.005149963618570117, 0.014224592708993093, 0.00034168283870723143, 0.0076564598921096344, 0.0034317451167093413, 0.0009238179906515655, 0.0019620794168201026, 0.003283583892358408, 0.0, 0.0, 0.0]"
L50pct,10,OLS_L1,1,0.14763142285998943,0.16999387185244194,,,1,[0.07074715059593793]
L50pct,10,OLS_Cumulative,25,0.3879385525493747,0.14405126045227978,,,1,[0.11468352168876846]
L50pct,10,Ridge,25,0.4341883946771691,0.13850181852667337,100.0,,25,"[0.02826572112148472, 0.008820581295818815, 0.008286890515505818, 0.0021669819353776374, 0.0006033225442227411, 0.020938896208996638, -0.005103130806725963, 0.014671996461445633, 0.004662812390025231, 0.0004315618025449038, 0.009578046264122496, -0.001238974861219226, 0.0045451647495570345, 0.019230703264343736, 0.007029483605783144, 0.0241080568854972, 0.008766995541945526, 0.01133278737536943, 0.0023779972998725215, 0.00789646033507175, 0.016242927097655378, 0.006432558735566674, 0.0039061075106379866, -0.0011371998210754192, -0.002807003867233751]"
L50pct,10,Lasso,25,0.42411468727257173,0.13972932190763618,0.01,1.0,17,"[0.024983705457845746, 0.006443802909205067, 0.008752939090886099, 0.0, 0.0, 0.015456409499951685, 0.0, 0.01103535883989138, 0.003276810352292798, 0.0, 0.007968391028107152, 0.0, 0.005025069417904448, 0.020248103601971823, 0.005635262428862982, 0.024155084011682936, 0.005398796068751402, 0.011035695753655232, 0.00035715452813397583, 0.003840438967653095, 0.013795595766365099, 0.003019098153120518, 0.0, 0.0, 0.0]"
L50pct,10,ElasticNet,25,0.422119955379488,0.13997110754476957,0.1,0.1,20,"[0.02262149652198372, 0.0068022834110172785, 0.009248529177513136, 0.0012426042310574965, 0.0, 0.01408050155704066, 0.0, 0.010604134509485753, 0.0038437963410210703, 0.0014472993438948377, 0.007696165213766545, 0.0, 0.005777597419244383, 0.018055269012623457, 0.006828466100666861, 0.021557972789954992, 0.005919784071780718, 0.010411676899936982, 0.0012011548088098048, 0.004264409541402949, 0.012628214614273952, 0.0034594424312779874, 9.666403528314179e-05, 0.0, 0.0]"
L50pct,15,OLS_L1,1,0.1857340007066418,0.19999091717288367,,,1,[0.09551527458988747]
L50pct,15,OLS_Cumulative,25,0.4191677226449948,0.16890888420302036,,,1,[0.14348980266528866]
L50pct,15,Ridge,25,0.46963789359506336,0.1614036550170504,100.0,,25,"[0.036749236197969305, 0.012709895226076386, 0.01219475953351853, 0.00202347380969726, -0.0009688839116496032, 0.01405445132717348, -0.0006787258992877029, 0.017338765991900103, 0.014374613403612471, 0.009175447167855925, 0.0119707662103447, -0.010054036142835975, 0.004308858946485931, 0.01826853073134101, 0.00889498105791598, 0.02685338140918288, 0.002674063607229129, 0.018079381176625532, -0.0013164074875852512, 0.004023109399920585, 0.010772814933974112, 0.020684560087281246, 0.00494811666183467, 0.00042371307417203645, 0.0013260179307592469]"
L50pct,15,Lasso,25,0.46268421488201783,0.162458306390365,0.01,1.0,16,"[0.0348457488293692, 0.008666030347658529, 0.013481734222716648, 0.0, 0.0, 0.012142631436873403, 0.0, 0.015396253040550105, 0.012365644093626109, 0.008400277206654257, 0.007223329442112617, 0.0, 0.0018983868642856176, 0.018051268456500305, 0.008021428404111703, 0.027557582968934596, 0.0, 0.016480619768021038, 0.0, 0.0, 0.007359843378484472, 0.01850091505355292, 0.0016110238586949696, 0.0, 0.0]"
L50pct,15,ElasticNet,25,0.4168788536890089,0.1692413641538621,0.1,0.3,14,"[0.024174150044406983, 0.003941303323800247, 0.01518044648709772, 0.0, 0.0, 0.007176216761243332, 0.0, 0.010898416736582232, 0.007845614382255837, 0.008894658584979015, 0.0059454924708716396, 0.0, 0.0023298631441827275, 0.016116095294613147, 0.009199624996297937, 0.023044596387811093, 0.0, 0.010876899393476889, 0.0, 0.0, 0.0, 0.010995137179595538, 0.0, 0.0, 0.0]"
L50pct,20,OLS_L1,1,0.1758117146744851,0.23128089055528842,,,1,[0.1068194744825628]
L50pct,20,OLS_Cumulative,25,0.40682411713601596,0.19620870659433373,,,1,[0.16249121182807658]
L50pct,20,Ridge,25,0.4566158318466217,0.18779326930408755,100.0,,25,"[0.03740683297966855, 0.018310185669548337, 0.007653029491159795, 0.010916926359468919, -0.00345587044026896, 0.01174973392738618, -0.011634418040766056, 0.01825385755007598, 0.012577621182386535, 0.008695706345565303, 0.015096377302627178, -0.006024058531093122, -0.00043310474334517753, 0.016002890863746302, 0.013969372902858683, 0.030244207602377393, 0.011815717582091228, 0.024640016017182433, -0.004922069970686909, 0.015075358062031516, 0.020477704520772227, 0.013736783634195593, 0.010427925327871547, -0.00012046768526108445, -0.006621247267499789]"
L50pct,20,Lasso,25,0.44899491031512884,0.18910557721285054,0.01,1.0,18,"[0.03774860015107761, 0.01626032762038088, 0.005362667695609594, 0.0056657368740489975, 0.0, 0.005630224171806641, 0.0, 0.014024977033371067, 0.009591804946760386, 0.008739681086724259, 0.01119836672836526, 0.0, 0.0, 0.01541953594167921, 0.014762594092987484, 0.030157337539174305, 0.0035548399625408363, 0.022379531162865746, 0.0, 0.007665466105190528, 0.017176781053247995, 0.00936295736635858, 0.006178905288868559, 0.0, 0.0]"
L50pct,20,ElasticNet,25,0.41304565824651307,0.1951770241230562,0.1,0.3,17,"[0.02692306990569955, 0.013374612215530561, 0.004046141080143943, 0.005291236405761101, 0.0, 0.004644508384859771, 0.0, 0.011528292524703143, 0.006523983992837772, 0.007653708218124061, 0.010062232688749607, 0.0, 0.0029679969075124984, 0.014801474910794706, 0.020866861121121804, 0.024278157716379173, 0.0, 0.016265004930969405, 0.0, 0.0, 0.010011865858962538, 0.002599840607914941, 0.001570617969985518, 0.0, 0.0]"
L50pct,30,OLS_L1,1,0.1474281024196339,0.2892922304417943,,,1,[0.12029882932127096]
L50pct,30,OLS_Cumulative,25,0.4336507236853284,0.23578351522356458,,,1,[0.2063199866199967]
L50pct,30,Ridge,25,0.4810544750505604,0.2257003064940799,100.0,,25,"[0.027544716679857015, 0.020031100787082364, 0.023847379271762805, 0.00739839066822624, -0.006422234499879514, 0.01900142968364354, -0.008783378896142911, 0.021777657672411993, 0.014678016694074683, 0.01148829324563162, 0.009125302083168696, -0.007896994553667616, 0.00337496658743378, 0.024589172129064737, 0.008929445507523923, 0.03741682511041826, 0.013137716776394918, 0.02876459795373053, -0.004590085591328971, -0.005361621392190469, 0.05014508329078825, 0.02303729359044774, 2.9916585524784724e-05, 0.015884292532538764, -0.005741343861489555]"
L50pct,30,Lasso,25,0.4758319832759824,0.22683314916453806,0.01,1.0,16,"[0.026984762805181542, 0.016703229470493488, 0.026088615494743554, 0.0, 0.0, 0.011249633514929025, 0.0, 0.019103634072190977, 0.013924073061456576, 0.010262903772884644, 0.0038025466209175435, 0.0, 0.0, 0.026781700991613918, 0.00260952279919586, 0.03906508876154965, 0.00823484615262118, 0.024594211912494137, 0.0, 0.0, 0.04777697240487656, 0.019335954610561076, 0.0, 0.011316272805025113, 0.0]"
L50pct,30,ElasticNet,25,0.45081916712616144,0.23218221441257303,0.1,0.3,17,"[0.015000426579609455, 0.015599955055706702, 0.025525532299569203, 0.0, 0.0, 0.006868399186018441, 0.0, 0.015464338961025802, 0.008599710616531442, 0.014135657122385126, 0.004582812285543847, 0.0, 0.00910500080684096, 0.020006731020139848, 0.015651831120498057, 0.03151859571495468, 0.0008027691787748201, 0.017373925775352714, 0.0, 0.0, 0.03439040563025371, 0.010871107424679982, 0.0, 0.0029482740373639833, 0.0]"
L50pct,45,OLS_L1,1,0.17277458616879915,0.349521246635308,,,1,[0.15973554846613766]
L50pct,45,OLS_Cumulative,25,0.446601455913781,0.28587794574250713,,,1,[0.2568157850119842]
L50pct,45,Ridge,25,0.5161184568949073,0.2673198292511721,100.0,,25,"[0.03485611947036372, 0.05612681288188156, 0.02066662414679745, -0.012433640655399527, 0.003971218629101993, 0.024624602883030915, -0.02127795851476708, 0.023397012996749005, 0.025169320228592768, 0.011882681551819289, 0.009879777643862452, 0.003347160087518368, 0.00774349368705728, 0.005342059080630709, 0.014743270871878038, 0.05933421391594662, 0.03705161911771982, 0.04233100771307269, -0.020250918284282982, 0.005440772636693435, 0.041238689241819684, 0.02350810450296021, -0.0008348538503992988, 0.006811910208054654, -0.006573809261865817]"
