Time,Snapshots,Spread,Spread%,OFI,OFI_Std,Bid_Depth(M),Ask_Depth(M),Imbalance,Bid_Lvls,Ask_Lvls
2025-10-14 12:00:00,11,0.998,199.6,0.0,0.0,3.2909193427272725,9.847129654545455,-0.4990256711463928,100.0909090909091,76.9090909090909
2025-10-14 13:00:00,29,0.998,199.6,0.0,0.0,3.298537362068965,9.857716694827584,-0.4985598726438744,101.27586206896552,77.37931034482759
2025-10-14 14:00:00,16,0.998,199.6,0.0,0.0,3.325264858125,9.8600762925,-0.4956071173063821,101.875,77.9375
2025-10-14 16:00:00,5,0.998,199.6,0.0,0.0,3.3621771039999997,9.813162983999996,-0.4896257497038661,104.6,73.0
2025-10-14 17:00:00,30,0.998,199.6,0.0,0.0,3.4017964023333334,9.866748367666663,-0.4872414785568767,106.3,72.8
2025-10-14 18:00:00,50,0.998,199.6,0.0,0.0,3.4021270548,9.910932958599998,-0.4889058128850619,107.08,73.12
2025-10-14 19:00:00,93,0.998,199.6,0.0,0.0,3.415055785806452,9.915886402580643,-0.4876489240171353,107.29032258064515,74.26881720430107
2025-10-14 20:00:00,82,0.998,199.6,0.0,0.0,3.3635638824390246,9.91293450829268,-0.4933062117669877,106.7439024390244,74.0
2025-10-14 21:00:00,50,0.998,199.6,0.0,0.0,3.3517544310000003,9.912039572599998,-0.4946010400044433,106.32,74.46
2025-10-14 22:00:00,51,0.998,199.6,0.0,0.0,3.3460227035294117,9.898574818627448,-0.4947323270193558,107.1372549019608,74.45098039215686
2025-10-14 23:00:00,60,0.998,199.6,0.0,0.0,3.339059683,9.913948899166664,-0.4961061800768064,107.76666666666668,74.06666666666666
2025-10-15 00:00:00,94,0.998,199.59999999999997,0.0,0.0,3.348770281276596,9.90188271893617,-0.4945480247397241,109.0744680851064,74.0
2025-10-15 01:00:00,128,0.998,199.6,0.0,0.0,3.3280668914062503,9.905177781874997,-0.4970110163650658,106.8359375,75.46875
2025-10-15 02:00:00,122,0.998,199.6,0.0,0.0,3.335998549590164,9.944647209262296,-0.4976150610431051,106.65573770491804,74.95901639344262
2025-10-15 03:00:00,107,0.998,199.6,0.0,0.0,3.3375876541121494,9.953344989252336,-0.4977637677867305,105.7196261682243,75.81308411214954
2025-10-15 04:00:00,193,0.998,199.59999999999997,0.0259067357512953,0.3599078753743472,3.3368874912953372,9.959159493419689,-0.4980623768196734,106.48186528497408,76.06217616580311
2025-10-15 05:00:00,114,0.998,199.6,0.0,0.0,3.341690506228071,9.957351627192981,-0.4974525893332431,105.8859649122807,75.30701754385964
2025-10-15 06:00:00,98,0.998,199.6,0.0,0.0,3.337791872653061,9.974000130714284,-0.498520388099367,106.79591836734694,75.64285714285714
2025-10-15 07:00:00,82,0.998,199.6,0.0,0.0,3.3300025035365857,9.980762772439023,-0.499649363513457,106.6219512195122,78.26829268292683
2025-10-15 08:00:00,91,0.998,199.6,0.0,0.0,3.320553326923077,9.97534667417582,-0.5005110879052883,105.17582417582418,78.54945054945055
2025-10-15 09:00:00,62,0.998,199.6,0.0,0.0,3.297678718709678,9.938735808064513,-0.5017234398226701,103.41935483870968,79.53225806451613
2025-10-15 10:00:00,144,0.998,199.6,0.0,0.0,3.292191506944445,9.934467979513883,-0.5021830253318549,103.71527777777776,79.47222222222223
2025-10-15 11:00:00,50,0.998,199.6,0.0,0.0,3.2902550394000003,9.9923158206,-0.5045755197410972,103.26,78.64
2025-10-15 12:00:00,67,0.998,199.6,0.0,0.0,3.28442283641791,10.004274225074628,-0.5056794271862782,103.2089552238806,77.58208955223881
2025-10-15 13:00:00,51,0.998,199.6,0.0,0.0,3.294163292745099,10.06814017882353,-0.5069460844194855,101.54901960784314,78.27450980392157
2025-10-15 14:00:00,54,0.998,199.6,0.0,0.0,3.3325492853703707,9.962955739814817,-0.4986923481500968,103.12962962962963,75.24074074074075
2025-10-15 15:00:00,31,0.998,199.6,0.0,0.0,3.33702860967742,9.96101411967742,-0.4981173158546449,105.16129032258064,73.6774193548387
2025-10-15 16:00:00,56,0.998,199.6,0.0,0.0,3.349726831250001,9.97368425089286,-0.4971673325661206,104.21428571428572,73.80357142857143
2025-10-15 17:00:00,33,0.998,199.6,0.0,0.0,3.371106056363637,9.96027073848485,-0.4942526473585556,104.15151515151516,73.33333333333333
