timestamp,trade_imbalance,total_volume,num_trades
2025-10-17 16:30:00+00:00,9571.474398,48727.614308000004,96
2025-10-17 17:15:00+00:00,-449.115558,1920.513078,42
2025-10-17 18:00:00+00:00,225305.03991400002,286468.740612,137
2025-10-17 18:45:00+00:00,1509.2595000000013,261184.512028,450
2025-10-17 19:30:00+00:00,7983.660384000001,59427.602136,130
2025-10-17 20:15:00+00:00,4189.407277999997,416811.54676,400
2025-10-17 21:00:00+00:00,54063.905874000004,257458.891936,315
2025-10-17 21:45:00+00:00,9375.468016000003,237922.980844,229
2025-10-17 22:30:00+00:00,41874.866630000004,419032.484788,289
2025-10-17 23:15:00+00:00,-3509.5357619999995,373751.131142,326
2025-10-18 00:00:00+00:00,23047.454724,48362.46756,125
2025-10-18 00:45:00+00:00,18677.926228,256873.068166,585
2025-10-18 01:30:00+00:00,46286.502394,187489.894058,454
2025-10-18 02:15:00+00:00,97089.179804,429209.970544,490
2025-10-18 03:00:00+00:00,83938.184186,374904.72863,416
2025-10-18 03:45:00+00:00,16575.85371,104796.622902,389
2025-10-18 04:30:00+00:00,21229.74916,70515.007402,219
2025-10-18 05:15:00+00:00,23558.801534000002,46811.983842,181
2025-10-18 06:00:00+00:00,76698.488438,375043.893606,685
2025-10-18 06:45:00+00:00,-257.77419999999995,86446.712558,191
2025-10-18 07:30:00+00:00,-20123.113182000005,213071.000764,284
2025-10-18 08:15:00+00:00,27902.227808,146956.691624,271
2025-10-18 09:00:00+00:00,7741.12279,169749.407776,380
2025-10-18 09:45:00+00:00,56877.340028,204956.722486,435
2025-10-18 10:30:00+00:00,12881.729905999999,117615.34679,92
2025-10-18 11:15:00+00:00,-17010.397748,95530.980602,114
2025-10-18 12:00:00+00:00,-59678.753954,166581.16406,111
2025-10-18 12:45:00+00:00,-30012.413256,53919.867928,80
2025-10-18 13:30:00+00:00,-2905.5809560000002,114317.493512,113
2025-10-18 14:15:00+00:00,-4207.762481999999,75782.321216,89
2025-10-18 15:00:00+00:00,2119.3360140000004,14742.670307999999,77
