timestamp,timestamp_sec,side,direction,price,shares_normalized,token_id,transaction_hash,market
2025-10-17 11:46:28+00:00,1760701588,BUY,1,0.893,331.76,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:47:44+00:00,1760701664,SELL,-1,0.8939998283519643,5.59284,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:47:44+00:00,1760701664,BUY,1,0.8939998283519643,5.59284,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:47:50+00:00,1760701670,BUY,1,0.893,90.21,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:47:50+00:00,1760701670,SELL,-1,0.893,356.12,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:48:08+00:00,1760701688,SELL,-1,0.893,344.92,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:48:16+00:00,1760701696,SELL,-1,0.893,69.71,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:48:36+00:00,1760701716,SELL,-1,0.8939999962097511,200.51454,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:48:36+00:00,1760701716,BUY,1,0.8939999962097511,200.51454,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:49:12+00:00,1760701752,SELL,-1,0.8939999766665983,22.371363,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:49:12+00:00,1760701752,BUY,1,0.8939999766665983,22.371363,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:49:32+00:00,1760701772,SELL,-1,0.894,280.0,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:49:34+00:00,1760701774,SELL,-1,0.8939998741777532,6.644294,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:49:34+00:00,1760701774,BUY,1,0.8939998741777532,6.644294,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
