window,trade_imbalance,total_volume,trade_count,price_first,price_last,price_mean,mid_first,mid_last,snapshot_count,avg_bid_size,avg_ask_size,avg_total_bid,avg_total_ask,delta_mid_price,delta_mid_ticks,avg_depth_l1,avg_depth_l2
2025-10-15 00:00:00+00:00,-19140.572884,69549.33744,129,0.882,0.8829996870153327,0.6869612142931827,0.785,0.785,1,240.77,7045.0,1086854.04,703435.8899999999,0.0,0.0,3642.885,895144.965
2025-10-15 00:45:00+00:00,55471.663356000005,346674.963378,336,0.8829998271085647,0.88,0.7404895600625708,0.785,0.785,1,290.03,6917.73,1090242.1700000002,702828.6199999999,0.0,0.0,3603.8799999999997,896535.395
2025-10-15 01:30:00+00:00,12536.358873999998,158310.300698,238,0.881,0.88,0.771698190325127,0.785,0.785,2,393.88,6575.23,1088534.375,702833.845,0.0,0.0,3484.555,895684.11
2025-10-15 03:00:00+00:00,34837.251782,272857.736676,239,0.881,0.88,0.6669955151141023,0.785,0.785,1,366.1,5225.9,1089366.9500000002,702548.7599999999,0.0,0.0,2796.0,895957.855
2025-10-15 04:30:00+00:00,8931.71844,356429.502356,382,0.12,0.88,0.5974044537355802,0.785,0.785,5,312.608,4904.616,1086588.548,702423.7359999998,0.0,0.0,2608.612,894506.1419999999
2025-10-15 06:45:00+00:00,12805.723218,35100.415012,110,0.12,0.88,0.6861909005139735,0.785,0.815,13,7529.274615384615,820.48,1094541.1530769232,696406.5807692307,0.029999999999999916,2.9999999999999916,4174.877307692307,895473.866923077
2025-10-15 07:30:00+00:00,8442.687354000002,77695.698244,174,0.879,0.8799999647998255,0.6394760428300796,0.815,0.815,5,7981.270000000001,60.08399999999999,1096464.01,700654.394,0.0,0.0,4020.6770000000006,898559.202
2025-10-15 08:15:00+00:00,24457.083174,90370.539312,163,0.8799999647998255,0.879,0.6229878118340534,0.825,0.8200000000000001,5,1670.89,6448.14,1097601.94,702299.35,-0.004999999999999893,-0.49999999999998934,4059.5150000000003,899950.645
2025-10-15 09:00:00+00:00,34814.387274,154382.249018,147,0.121,0.1200000352001745,0.5897754764417644,0.8200000000000001,0.8200000000000001,1,8472.94,7013.65,1095354.55,705703.0299999999,0.0,0.0,7743.295,900528.79
2025-10-15 09:45:00+00:00,46561.221414,116125.86392,300,0.8799999961572024,0.876,0.5528096497078968,0.825,0.825,1,643.32,7022.44,1097313.86,707495.5399999999,0.0,0.0,3832.8799999999997,902404.7
2025-10-15 10:30:00+00:00,25756.489970000002,49833.650616,95,0.124,0.879,0.639177607428374,0.825,0.825,3,627.65,6752.196666666667,1099006.8566666667,706509.1033333332,0.0,0.0,3689.923333333333,902757.98
2025-10-15 11:15:00+00:00,9589.415538,25378.06248,86,0.8789999996636956,0.878,0.6936045797801369,0.825,0.825,3,962.3766666666667,5351.356666666667,1099390.3866666667,704627.6066666666,0.0,0.0,3156.866666666667,902008.9966666666
2025-10-15 12:00:00+00:00,18802.775584,107330.10913,166,0.1210000019057445,0.1219999917233478,0.6229397442563694,0.825,0.825,1,962.36,3048.79,1097858.37,702728.0599999999,0.0,0.0,2005.575,900293.2150000001
2025-10-15 12:45:00+00:00,8778.958888,44800.578888000004,106,0.8789999050676305,0.877,0.5212794481015862,0.825,0.825,2,1071.6,2586.295,1099810.61,701698.4249999999,0.0,0.0,1828.9475,900754.5175000001
