metric,r_squared,beta,p_value,notes
OFI (signed),0.3115879506663633,2.5681734918761585e-06,5.59331812836201e-49,ΔP = α + β*OFI
|OFI| (absolute),0.16984404697463815,2.0366043465461393e-06,2.869120668808086e-25,|ΔP| = α + β*|OFI| (Table 5 style)
TI (signed),0.007164779653037691,1.0571474080760612e-07,0.04122020683248443,ΔP = α + β*TI
Volume,0.017239413763944736,0.07117480183026462,0.0015010124590088935,"|ΔP| = α + β*VOL^H, H=0.071"
