timestamp,timestamp_ms,best_bid,best_ask,best_bid_size,best_ask_size,best_mid,best_spread,best_spread_pct,weighted_mid,bid_10pct,ask_10pct,effective_mid_10pct,effective_spread_10pct,bid_50pct,ask_50pct,most_liquid_price,total_bid_size,total_ask_size,total_depth,num_bid_levels,num_ask_levels
2025-10-14 17:18:34.140,1760487514140,0.78,0.79,40.77,7214.23,0.785,0.010000000000000009,1.2738853503184724,0.7797211733541375,0.01,0.94,0.475,0.9299999999999999,0.01,0.99,0.0,1090705.56,701722.14,1792427.7000000002,46,18
2025-10-14 17:23:34.634,1760487814634,0.78,0.79,240.77,7045.0,0.785,0.010000000000000009,1.2738853503184724,0.7711345170015302,0.01,0.94,0.475,0.9299999999999999,0.01,0.99,0.0,1086854.04,703435.89,1790289.9300000002,45,20
2025-10-14 18:01:25.164,1760490085164,0.78,0.79,290.03,6917.73,0.785,0.010000000000000009,1.2738853503184724,0.7721401981538907,0.01,0.94,0.475,0.9299999999999999,0.01,0.99,0.0,1090242.17,702828.62,1793070.79,46,20
2025-10-14 18:48:05.487,1760492885487,0.78,0.79,421.31,5927.73,0.785,0.010000000000000009,1.2738853503184724,0.7725630770864433,0.01,0.94,0.475,0.9299999999999999,0.01,0.99,0.0,1087427.16,702523.14,1789950.2999999998,46,19
2025-10-14 19:08:59.409,1760494139409,0.78,0.79,366.45,7222.73,0.785,0.010000000000000009,1.2738853503184724,0.7707039125677704,0.01,0.94,0.475,0.9299999999999999,0.01,0.99,0.0,1089641.59,703144.55,1792786.1400000001,46,20
2025-10-14 20:41:16.298,1760499676298,0.78,0.79,366.1,5225.9,0.785,0.010000000000000009,1.2738853503184724,0.7718325362019482,0.01,0.94,0.475,0.9299999999999999,0.01,0.99,0.0,1089366.95,702548.76,1791915.71,46,20
2025-10-14 21:46:33.259,1760503593259,0.78,0.79,332.2,5174.94,0.785,0.010000000000000009,1.2738853503184724,0.7712162666349311,0.01,0.94,0.475,0.9299999999999999,0.01,0.99,0.0,1089317.34,702514.06,1791831.4000000001,46,20
2025-10-14 21:50:48.796,1760503848796,0.78,0.79,341.46,4583.4,0.785,0.010000000000000009,1.2738853503184724,0.7717293108621064,0.01,0.94,0.475,0.9299999999999999,0.01,0.99,0.0,1085932.6,701972.52,1787905.12,45,20
2025-10-14 21:51:53.801,1760503913801,0.78,0.79,331.46,5124.94,0.785,0.010000000000000009,1.2738853503184724,0.7712143925499506,0.01,0.94,0.475,0.9299999999999999,0.01,0.99,0.0,1085932.6,702414.06,1788346.6600000001,45,20
2025-10-14 21:52:16.889,1760503936889,0.78,0.79,281.46,5124.94,0.785,0.010000000000000009,1.2738853503184724,0.7712086094780368,0.01,0.94,0.475,0.9299999999999999,0.01,0.99,0.0,1085882.6,702464.06,1788346.6600000001,45,20
