level,lambda_estimate,lambda_std_err,lambda_p_value,log_log_r_squared,pct_negative_correlation,n_configs,n_datapoints,interpretation
L1,0.3748559169948069,0.2003666750499594,0.062577794552504,0.014315244022521496,27.160493827160494,81,243,Theory holds (β decreases with AD)
L2,0.2891415694554396,0.17179701251244783,0.09366193020241433,0.011617108093107656,76.5432098765432,81,243,Theory holds (β decreases with AD)
