mid_price_method,time_window,outlier_method,r_squared,beta,p_value,n_windows,std_err
last_trade,1,Raw,0.00041869226732514105,-1.7404588034674163e-07,0.0016749778486872227,23584,5.5377713934753194e-08
last_trade,1,IQR (1.5x),2.7559801083619465e-05,1.7964899067968368e-06,0.4858239089599985,17628,2.5775308662038794e-06
last_trade,1,Pctl (1%-99%),1.9634471115372732e-05,-1.3953799261755596e-07,0.5005607888648627,23112,2.071469918430211e-07
last_trade,1,Z-Score (3),6.549025019718686e-05,-2.1021415532490282e-07,0.21585697719334782,23390,1.6984895068256904e-07
last_trade,1,Winsorized,0.0006536959470594943,-6.179251236753695e-07,8.606467601457236e-05,23584,1.5733148607200692e-07
last_trade,1,Abs (200k),0.0017121374304900972,-5.19722423892815e-07,2.081298619695868e-10,23572,8.174293902862352e-08
last_trade,1,Abs (100k),0.0013785424288864435,-5.989424440375049e-07,1.2045744321359794e-08,23547,1.0505727242707959e-07
last_trade,1,MAD (3),0.00018975939123113149,8.324524264414374e-06,0.08141912382075724,16002,4.777014762050544e-06
last_trade,1,Pctl (5%-95%),1.9542812990957545e-05,-3.3344333325067667e-07,0.5195775190596066,21224,5.177631070940503e-07
last_trade,5,Raw,3.824021233047565e-05,-3.398967086766296e-08,0.6394918103483634,5740,7.256016068514253e-08
last_trade,5,IQR (1.5x),1.3312951314286276e-06,5.393628896321916e-08,0.9361899278105362,4817,6.736672815618857e-07
last_trade,5,Pctl (1%-99%),0.0007313553799265291,-3.649635955139876e-07,0.042559380993564905,5624,1.79920655932057e-07
last_trade,5,Z-Score (3),0.0017014481193061122,-5.358556722947944e-07,0.0018748499798050553,5680,1.7225466933039464e-07
last_trade,5,Winsorized,0.001813959030241353,-4.80999072338537e-07,0.0012485778683025686,5740,1.4895530530168166e-07
last_trade,5,Abs (200k),0.006083017821728361,-7.422080585329418e-07,3.4309675276974925e-09,5726,1.2539821773132914e-07
last_trade,5,Abs (100k),0.0019715376849930126,-5.31518664690957e-07,0.0008030993039101838,5695,1.584954684695522e-07
last_trade,5,MAD (3),3.492503744194344e-05,-4.559286335140075e-07,0.7007593758656778,4231,1.1863204068663422e-06
last_trade,5,Pctl (5%-95%),0.00013165645429286048,-3.03859921756056e-07,0.4096373957993571,5166,3.6849418322849187e-07
last_trade,10,Raw,1.04754473727667e-05,1.3904222824180043e-08,0.8617631054157411,2897,7.984245286354578e-08
last_trade,10,IQR (1.5x),0.0005499669664141019,5.715990809379308e-07,0.23898467478686716,2523,4.853078766525591e-07
last_trade,10,Pctl (1%-99%),0.0007335114256157311,-2.518915752706692e-07,0.14910642811996022,2839,1.745505391241565e-07
last_trade,10,Z-Score (3),0.0017398300668331663,-3.8047202986413006e-07,0.025548153636895218,2866,1.702960930154486e-07
last_trade,10,Winsorized,0.008883209690428594,-7.828750384703878e-07,3.7336232108075464e-07,2897,1.5369000397740204e-07
last_trade,10,Abs (200k),0.015723159835894476,-1.0220126372200491e-06,1.4250515224027454e-11,2882,1.5067761610362752e-07
last_trade,10,Abs (100k),0.0028035547060527165,-5.582955277002326e-07,0.004743610004029256,2843,1.9754424198988517e-07
last_trade,10,MAD (3),3.909381130086044e-06,-6.293248863206539e-08,0.9236646627643457,2351,6.567174291772459e-07
last_trade,10,Pctl (5%-95%),0.001493767044092746,-6.474806595601401e-07,0.04847546870741032,2607,3.279871959074373e-07
last_trade,15,Raw,0.0001240278540095351,-4.1664660349151455e-08,0.6245134822919971,1934,8.510944061160232e-08
last_trade,15,IQR (1.5x),0.0011324540621840825,-6.043348663131824e-07,0.16423848904954055,1710,4.3428754290838025e-07
last_trade,15,Pctl (1%-99%),0.005658381975860067,-6.423394588380458e-07,0.0010522881797724478,1894,1.9576079190435705e-07
last_trade,15,Z-Score (3),0.0055676912048061,-6.201708122183067e-07,0.0010874703019387543,1914,1.895472209931876e-07
last_trade,15,Winsorized,0.014679414511113941,-9.034868794580182e-07,9.067713553605732e-08,1934,1.6840411527657296e-07
last_trade,15,Abs (200k),0.0055676912048061,-6.201708122183067e-07,0.0010874703019387543,1914,1.895472209931876e-07
last_trade,15,Abs (100k),0.0010132106505180134,-3.278011377231393e-07,0.16782626944355478,1879,2.3757914752895227e-07
last_trade,15,MAD (3),0.00020441504909946443,-3.282294075271746e-07,0.568282760859913,1595,5.751336464972278e-07
last_trade,15,Pctl (5%-95%),0.0012292068954200162,-4.6104168971561916e-07,0.14377712327593756,1740,3.1523594706690827e-07
last_trade,20,Raw,0.003600600412818631,2.046373017731316e-07,0.022265949889251804,1451,8.942930861434677e-08
last_trade,20,IQR (1.5x),8.116673480221558e-06,-4.2886326866800574e-08,0.9190509409457486,1275,4.2190420051709787e-07
last_trade,20,Pctl (1%-99%),0.013782498693044785,-8.882569471628173e-07,9.124551369882673e-06,1421,1.9946641754678113e-07
last_trade,20,Z-Score (3),0.02013397419854737,-1.0464578310712586e-06,6.606131867996312e-08,1437,1.9271449349697665e-07
last_trade,20,Winsorized,0.012436477827623513,-7.550582930379418e-07,2.06628650012507e-05,1451,1.7675841932176485e-07
last_trade,20,Abs (200k),0.013073294191239834,-9.000762924935342e-07,1.4429322955293818e-05,1432,2.068050965320514e-07
last_trade,20,Abs (100k),0.0012294538975645036,-3.422917224549342e-07,0.1915459504063182,1389,2.6195995400166076e-07
last_trade,20,MAD (3),0.0019926074407625822,7.995126088236386e-07,0.1200665492692967,1214,5.139608191117412e-07
last_trade,20,Pctl (5%-95%),0.00013580308839277575,-1.228581899466733e-07,0.6740548443863855,1305,2.9204353064296864e-07
last_trade,30,Raw,0.009223322222163136,2.6869731807996994e-07,0.0027942409447762185,967,8.964867433836303e-08
last_trade,30,IQR (1.5x),0.00015225438940753947,1.562513603716851e-07,0.7187905277471319,854,4.337964909724835e-07
last_trade,30,Pctl (1%-99%),0.0403195697482347,-1.3257704884953023e-06,4.5277731886961485e-10,947,2.104058536429175e-07
last_trade,30,Z-Score (3),0.04068958347117829,-1.2817191598305875e-06,3.0371914069811987e-10,957,2.0138594102225497e-07
last_trade,30,Winsorized,0.008425569921245556,-5.271740741271722e-07,0.004280324737134956,967,1.840998367005091e-07
last_trade,30,Abs (200k),0.001153515225520994,-2.442582239478975e-07,0.29669953268585014,946,2.3393807123395831e-07
last_trade,30,Abs (100k),0.0017164289877454775,-4.280908714439064e-07,0.21562840803454286,895,3.454810885862933e-07
last_trade,30,MAD (3),0.00014631840253301158,1.7354877969245844e-07,0.7289661098671212,823,5.006897898316372e-07
last_trade,30,Pctl (5%-95%),2.9155612550116043e-05,-5.204840851188436e-08,0.8737117162621184,869,3.2736367659259535e-07
last_trade,45,Raw,0.009485650327332359,2.6558914885131837e-07,0.013266981806369735,646,1.0694592070796406e-07
last_trade,45,IQR (1.5x),0.004562971769585738,7.658271763429185e-07,0.10810591052582179,567,4.7587134559846546e-07
last_trade,45,Pctl (1%-99%),0.029977898176783643,-1.0123378379428827e-06,1.2022041598515659e-05,632,2.2942747198932868e-07
last_trade,45,Z-Score (3),0.04288147517387656,-1.1519847471029196e-06,1.2230402050482743e-07,641,2.1530013500655518e-07
last_trade,45,Winsorized,0.018025878976545055,-7.302939880617519e-07,0.0006231593582988075,646,2.1240101489564596e-07
last_trade,45,Abs (200k),0.001832257972785817,-3.0531980576217826e-07,0.2872517341398902,620,2.866613851803295e-07
last_trade,45,Abs (100k),0.005560853978156664,8.253356831849504e-07,0.0752511327151191,570,4.631000359164594e-07
last_trade,45,MAD (3),0.006027672699111536,9.39683971242241e-07,0.06710460524736359,557,5.122095164024832e-07
last_trade,45,Pctl (5%-95%),0.0003376857463966753,-1.4780049330594796e-07,0.6587492087856972,580,3.3448932311446534e-07
last_trade,60,Raw,0.019721748833392796,3.469947907198417e-07,0.00195540612718407,484,1.114298145516103e-07
last_trade,60,IQR (1.5x),0.005104820847934726,7.189985508773023e-07,0.14190349483137468,424,4.886188308330257e-07
last_trade,60,Pctl (1%-99%),0.025988152245941292,-8.076161347419083e-07,0.00042578843011600756,474,2.2757701992367367e-07
last_trade,60,Z-Score (3),0.020654801184277927,-7.331019869972823e-07,0.0016311712964307884,478,2.3137600068258266e-07
last_trade,60,Winsorized,0.0017105703033266145,-1.7824047364025151e-07,0.3639127232166315,484,1.961284430342008e-07
last_trade,60,Abs (200k),3.923774322932352e-06,1.4712541876056138e-08,0.9665384163030672,451,3.5051909281281444e-07
last_trade,60,Abs (100k),0.0036846606623718676,6.508706012909443e-07,0.21720663260561404,415,5.26646605522582e-07
last_trade,60,MAD (3),0.009535758337792776,1.0449489778129037e-06,0.04627530599675153,417,5.22772603081436e-07
last_trade,60,Pctl (5%-95%),0.004313403075949981,-4.812466878106243e-07,0.17201881259981716,434,3.51784895854164e-07
