date_hour,spread_mean,spread_median,spread_min,spread_max,spread_std,spread_pct_mean,spread_pct_median,best_bid_price_mean,best_bid_price_min,best_bid_price_max,best_ask_price_mean,best_ask_price_min,best_ask_price_max,mid_price_mean,mid_price_min,mid_price_max,best_bid_size_mean,best_bid_size_median,best_bid_size_std,best_ask_size_mean,best_ask_size_median,best_ask_size_std,total_bid_size_mean,total_bid_size_median,total_ask_size_mean,total_ask_size_median,total_depth_mean,total_depth_median,imbalance_mean,imbalance_median,depth_1pct_bid_mean,depth_1pct_ask_mean,bid_levels_mean,ask_levels_mean,ofi_mean,ofi_median,ofi_std,ofi_min,ofi_max,ofi_simple_mean,ofi_simple_median,ofi_simple_std,snapshot_count,bid_ask_ratio,depth_asymmetry,date,hour,day_of_week,day_name
2025-10-14 12:00:00,0.998,0.998,0.998,0.998,0.0,199.6,199.6,0.001,0.001,0.001,0.9990000000000001,0.999,0.999,0.5,0.5,0.5,705452.31,705452.31,0.0,5808925.88,5808925.88,0.0,3290919.3427272723,3283197.6799999997,9847129.654545454,9848816.499999998,13138048.997272728,13134125.029999996,-0.4990256711463928,-0.4997553172962335,3290919.3427272723,9847129.654545454,100.0909090909091,76.9090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.33420087458767006,0.1309707241910632,2025-10-14,12,1,Tuesday
2025-10-14 13:00:00,0.998,0.998,0.998,0.998,0.0,199.6,199.6,0.001,0.001,0.001,0.999,0.999,0.999,0.5,0.5,0.5,705452.31,705452.31,0.0,5808925.880000001,5808925.88,0.0,3298537.362068965,3298446.1899999995,9857716.694827585,9858527.210000005,13156254.05689655,13157937.479999997,-0.4985598726438744,-0.4986514914866324,3298537.362068965,9857716.694827585,101.27586206896552,77.37931034482759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0.334614745400396,0.13375796178343952,2025-10-14,13,1,Tuesday
2025-10-14 14:00:00,0.998,0.998,0.998,0.998,0.0,199.6,199.6,0.001,0.001,0.001,0.999,0.999,0.999,0.5,0.5,0.5,705452.31,705452.31,0.0,5808925.88,5808925.88,0.0,3325264.8581250003,3326614.49,9860076.2925,9870659.72,13185341.150625002,13196891.510000002,-0.4956071173063821,-0.49587179749898747,3325264.8581250003,9860076.2925,101.875,77.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.3372453477519581,0.13312478275981926,2025-10-14,14,1,Tuesday
2025-10-14 16:00:00,0.998,0.998,0.998,0.998,0.0,199.6,199.6,0.001,0.001,0.001,0.999,0.999,0.999,0.5,0.5,0.5,705452.31,705452.31,0.0,5808925.88,5808925.88,0.0,3362177.104,3361167.69,9813162.983999997,9810373.419999998,13175340.087999996,13172643.949999996,-0.48962574970386613,-0.4896260011770789,3362177.104,9813162.983999997,104.6,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.3426191034921061,0.17792792792792791,2025-10-14,16,1,Tuesday
2025-10-14 17:00:00,0.998,0.998,0.998,0.998,0.0,199.6,199.6,0.001,0.001,0.001,0.999,0.999,0.999,0.5,0.5,0.5,705452.31,705452.31,0.0,5808925.88,5808925.88,0.0,3401796.402333333,3403548.1599999997,9866748.367666665,9875058.599999998,13268544.77,13280162.04,-0.4872414785568767,-0.4870598064373884,3401796.402333333,9866748.367666665,106.3,72.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.34477380749680614,0.1870463428252373,2025-10-14,17,1,Tuesday
2025-10-14 18:00:00,0.998,0.998,0.998,0.998,0.0,199.6,199.6,0.001,0.001,0.001,0.9990000000000001,0.999,0.999,0.5,0.5,0.5,705452.31,705452.31,0.0,5808925.88,5808925.88,0.0,3402127.0548,3399058.05,9910932.958599998,9907962.344999999,13313060.013399996,13314191.804999998,-0.48890581288506196,-0.48940833486030666,3402127.0548,9910932.958599998,107.08,73.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,0.3432701107969737,0.18845726970033294,2025-10-14,18,1,Tuesday
2025-10-14 19:00:00,0.9979999999999999,0.998,0.998,0.998,0.0,199.6,199.6,0.001,0.001,0.001,0.999,0.999,0.999,0.5,0.5,0.5,705452.31,705452.31,0.0,5808925.880000001,5808925.88,0.0,3415055.785806452,3415411.02,9915886.402580643,9918067.839999998,13330942.188387096,13333413.2,-0.4876489240171353,-0.4876518305055771,3415055.785806452,9915886.402580643,107.29032258064517,74.26881720430107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93,0.34440247166583837,0.18187740598164057,2025-10-14,19,1,Tuesday
2025-10-14 20:00:00,0.998,0.998,0.998,0.998,0.0,199.6,199.6,0.001,0.001,0.001,0.9990000000000001,0.999,0.999,0.5,0.5,0.5,705452.31,705452.31,0.0,5808925.88,5808925.88,0.0,3363563.8824390247,3361971.18,9912934.50829268,9909611.19,13276498.390731703,13275162.23,-0.49330621176698775,-0.4935767519338622,3363563.8824390247,9912934.50829268,106.7439024390244,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0.3393106127782071,0.18116186492139535,2025-10-14,20,1,Tuesday
2025-10-14 21:00:00,0.998,0.998,0.998,0.998,0.0,199.6,199.6,0.001,0.001,0.001,0.9990000000000001,0.999,0.999,0.5,0.5,0.5,705452.31,705452.31,0.0,5808925.88,5808925.88,0.0,3351754.4310000003,3350551.4400000004,9912039.572599998,9908967.969999995,13263794.0036,13261127.454999998,-0.4946010400044433,-0.49459393063477863,3351754.4310000003,9912039.572599998,106.32,74.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,0.3381498233991424,0.17623630932625292,2025-10-14,21,1,Tuesday
2025-10-14 22:00:00,0.9980000000000001,0.998,0.998,0.998,0.0,199.6,199.6,0.001,0.001,0.001,0.999,0.999,0.999,0.5,0.5,0.5,705452.4080392157,705452.31,0.7001400420156351,5808925.978039215,5808925.88,0.7001400420322624,3346022.7035294115,3346447.71,9898574.818627449,9903027.829999998,13244597.52215686,13248447.669999996,-0.4947323270193558,-0.4948221152605014,3346022.7035294115,9898574.818627449,107.13725490196079,74.45098039215686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,0.33803075340025324,0.18000215959399632,2025-10-14,22,1,Tuesday
