timestamp,timestamp_ms,best_bid_price,best_bid_size,best_ask_price,best_ask_size,mid_price,spread,spread_pct,bid_levels,ask_levels,total_bid_size,total_ask_size,total_depth,imbalance,depth_1pct_bid,depth_1pct_ask
2025-10-14 12:37:43.204,1760470663204,0.001,705452.31,0.999,5808925.88,0.5,0.998,199.6,104,75,3311691.35,9844883.27,13156574.62,-0.4965724064733804,3311691.35,9844883.27
2025-10-14 12:45:36.804,1760471136804,0.001,705452.31,0.999,5808925.88,0.5,0.998,199.6,103,77,3308102.4499999997,9842707.31,13150809.76,-0.49689752792834874,3308102.4499999997,9842707.31
2025-10-14 12:49:29.049,1760471369049,0.001,705452.31,0.999,5808925.88,0.5,0.998,199.6,103,77,3308102.4499999997,9842807.31,13150909.76,-0.4969013535379929,3308102.4499999997,9842807.31
2025-10-14 12:52:14.271,1760471534271,0.001,705452.31,0.999,5808925.88,0.5,0.998,199.6,96,77,3283197.6799999997,9843169.450000001,13126367.13,-0.49975531729623357,3283197.6799999997,9843169.450000001
2025-10-14 12:52:15.505,1760471535505,0.001,705452.31,0.999,5808925.88,0.5,0.998,199.6,98,78,3280226.9399999995,9842736.040000001,13122962.98,-0.5000783062484873,3280226.9399999995,9842736.040000001
2025-10-14 12:54:43.391,1760471683391,0.001,705452.31,0.999,5808925.88,0.5,0.998,199.6,98,77,3282357.9099999997,9848918.549999999,13131276.459999999,-0.500070245265402,3282357.9099999997,9848918.549999999
2025-10-14 12:55:22.206,1760471722206,0.001,705452.31,0.999,5808925.88,0.5,0.998,199.6,99,77,3282367.9099999997,9848897.639999999,13131265.549999999,-0.5000683068205867,3282367.9099999997,9848897.639999999
2025-10-14 12:55:34.620,1760471734620,0.001,705452.31,0.999,5808925.88,0.5,0.998,199.6,100,77,3282433.5199999996,9848816.499999998,13131250.019999998,-0.5000577226081938,3282433.5199999996,9848816.499999998
2025-10-14 12:57:28.450,1760471848450,0.001,705452.31,0.999,5808925.88,0.5,0.998,199.6,100,77,3282623.5199999996,9851501.509999998,13134125.029999997,-0.5001382258046009,3282623.5199999996,9851501.509999998
2025-10-14 12:58:57.581,1760471937581,0.001,705452.31,0.999,5808925.88,0.5,0.998,199.6,100,77,3289504.5199999996,9852015.219999999,13141519.739999998,-0.49937228188495647,3289504.5199999996,9852015.219999999
2025-10-14 12:59:23.168,1760471963168,0.001,705452.31,0.999,5808925.88,0.5,0.998,199.6,100,77,3289504.5199999996,9851973.399999999,13141477.919999998,-0.4993706887421381,3289504.5199999996,9851973.399999999
2025-10-14 13:00:18.353,1760472018353,0.001,705452.31,0.999,5808925.88,0.5,0.998,199.6,101,77,3289521.1099999994,9851501.259999998,13141022.369999997,-0.49935080888230765,3289521.1099999994,9851501.259999998
2025-10-14 13:04:18.596,1760472258596,0.001,705452.31,0.999,5808925.88,0.5,0.998,199.6,102,77,3299067.9199999995,9860636.95,13159704.87,-0.49861065235272256,3299067.9199999995,9860636.95
2025-10-14 13:05:22.038,1760472322038,0.001,705452.31,0.999,5808925.88,0.5,0.998,199.6,102,77,3299041.9199999995,9860594.569999998,13159636.489999998,-0.49861199851425375,3299041.9199999995,9860594.569999998
2025-10-14 13:08:15.760,1760472495760,0.001,705452.31,0.999,5808925.88,0.5,0.998,199.6,101,77,3298466.1899999995,9859984.61,13158450.799999999,-0.49865432638924334,3298466.1899999995,9859984.61
2025-10-14 13:10:34.999,1760472634999,0.001,705452.31,0.999,5808925.88,0.5,0.998,199.6,101,77,3298446.1899999995,9859826.109999998,13158272.299999997,-0.4986505652417605,3298446.1899999995,9859826.109999998
