timestamp,timestamp_ms,best_bid_price,best_bid_size,best_ask_price,best_ask_size,mid_price,spread,ofi,ofi_simple,delta_mid_price,delta_best_bid,delta_best_ask,delta_bid_size,delta_ask_size,total_bid_size,total_ask_size,total_depth,time_diff
2025-10-15 00:23:34.634000+00:00,1760487814634,0.01,1015150.0,0.99,530202.11,0.5,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1086854.04,703435.8899999999,1790289.93,300.494
2025-10-15 01:01:25.164000+00:00,1760490085164,0.01,1015150.0,0.99,530202.11,0.5,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1090242.1700000002,702828.6199999999,1793070.79,2270.53
2025-10-15 01:48:05.487000+00:00,1760492885487,0.01,1015150.0,0.99,530202.11,0.5,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1087427.16,702523.1399999999,1789950.3,2800.323
2025-10-15 02:08:59.409000+00:00,1760494139409,0.01,1015150.0,0.99,530202.11,0.5,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1089641.59,703144.5499999999,1792786.14,1253.922
2025-10-15 03:41:16.298000+00:00,1760499676298,0.01,1015150.0,0.99,530202.11,0.5,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1089366.9500000002,702548.7599999999,1791915.71,5536.889
2025-10-15 04:46:33.259000+00:00,1760503593259,0.01,1015150.0,0.99,530202.11,0.5,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1089317.34,702514.0599999998,1791831.4,3916.961
2025-10-15 04:50:48.796000+00:00,1760503848796,0.01,1015150.0,0.99,530202.11,0.5,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1085932.6,701972.5199999999,1787905.12,255.537
2025-10-15 04:51:53.801000+00:00,1760503913801,0.01,1015150.0,0.99,530202.11,0.5,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1085932.6,702414.0599999998,1788346.66,65.005
2025-10-15 04:52:16.889000+00:00,1760503936889,0.01,1015150.0,0.99,530202.11,0.5,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1085882.6,702464.0599999998,1788346.66,23.088
2025-10-15 04:52:31.925000+00:00,1760503951925,0.01,1015150.0,0.99,530202.11,0.5,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1085877.6,702753.9799999999,1788631.58,15.036
2025-10-15 06:49:13.766000+00:00,1760510953766,0.01,1015150.0,0.99,530202.11,0.5,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091936.6,698673.8899999999,1790610.49,7001.841
2025-10-15 06:50:15.084000+00:00,1760511015084,0.01,1015150.0,0.99,530202.11,0.5,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1095098.4,695254.3699999999,1790352.77,61.318
2025-10-15 06:50:15.110000+00:00,1760511015110,0.01,1015150.0,0.99,530202.11,0.5,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1094698.4,695454.3699999999,1790152.77,0.026
2025-10-15 06:50:15.128000+00:00,1760511015128,0.01,1015150.0,0.99,530202.11,0.5,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1094650.1800000002,695561.3699999999,1790211.55,0.018
2025-10-15 06:50:15.183000+00:00,1760511015183,0.01,1015150.0,0.99,530202.11,0.5,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1094644.1800000002,696161.3699999999,1790805.55,0.055
2025-10-15 06:50:15.216000+00:00,1760511015216,0.01,1015150.0,0.99,530202.11,0.5,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1094634.1800000002,696161.3699999999,1790795.55,0.033
