timestamp,timestamp_ms,best_bid_price,best_bid_size,best_ask_price,best_ask_size,mid_price,spread,ofi,ofi_simple,delta_mid_price,delta_best_bid,delta_best_ask,delta_bid_size,delta_ask_size,total_bid_size,total_ask_size,total_depth,time_diff
2025-11-01 00:00:15.531,1761980415531,0.001,814292.65,0.999,1504571.92,0.5,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5184302.820000001,4765972.599999999,9950275.42,10.31
2025-11-01 00:00:21.868,1761980421868,0.001,814292.65,0.999,1504571.92,0.5,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5180541.56,4764250.05,9944791.61,6.337
2025-11-01 00:00:24.111,1761980424111,0.001,814292.65,0.999,1504571.92,0.5,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5180358.850000001,4764250.05,9944608.9,2.243
2025-11-01 00:00:51.875,1761980451875,0.001,814292.65,0.999,1504571.92,0.5,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5182083.83,4764573.69,9946657.52,27.764
2025-11-01 00:01:02.027,1761980462027,0.001,814292.65,0.999,1504571.92,0.5,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5181930.220000001,4764582.57,9946512.790000001,10.152
2025-11-01 00:01:19.897,1761980479897,0.001,814292.65,0.999,1504571.92,0.5,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5180880.220000001,4764504.77,9945384.99,17.87
2025-11-01 00:01:20.951,1761980480951,0.001,814292.65,0.999,1504571.92,0.5,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5181058.220000001,4764832.18,9945890.4,1.054
2025-11-01 00:01:29.721,1761980489721,0.001,814292.65,0.999,1504571.92,0.5,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5180676.57,4820613.2700000005,10001289.84,8.77
2025-11-01 00:01:38.035,1761980498035,0.001,814292.65,0.999,1504571.92,0.5,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5181176.57,4818734.090000001,9999910.66,8.314
2025-11-01 00:01:55.515,1761980515515,0.001,814292.65,0.999,1504571.92,0.5,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5180742.58,4818739.090000001,9999481.670000002,17.48
2025-11-01 00:02:05.676,1761980525676,0.001,814292.65,0.999,1504571.92,0.5,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5172013.31,4824064.070000001,9996077.38,10.161
2025-11-01 00:02:23.614,1761980543614,0.001,814292.65,0.999,1504571.92,0.5,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5180993.23,4828243.090000001,10009236.32,17.938
2025-11-01 00:02:40.617,1761980560617,0.001,814292.65,0.999,1504571.92,0.5,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5181428.86,4829887.5,10011316.36,17.003
2025-11-01 00:02:40.624,1761980560624,0.001,814292.65,0.999,1504571.92,0.5,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5181428.86,4829620.04,10011048.9,0.007
2025-11-01 00:02:43.725,1761980563725,0.001,814292.65,0.999,1504571.92,0.5,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5174308.149999999,4827849.28,10002157.43,3.101
2025-11-01 00:02:48.103,1761980568103,0.001,814292.65,0.999,1504571.92,0.5,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5183836.520000001,4828982.88,10012819.400000002,4.378
2025-11-01 00:03:28.641,1761980608641,0.001,814292.65,0.999,1504571.92,0.5,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5183531.53,4780217.289999999,9963748.82,40.538
2025-11-01 00:03:54.958,1761980634958,0.001,814292.65,0.999,1504571.92,0.5,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5184382.98,4775495.199999999,9959878.18,26.317
2025-11-01 00:04:23.730,1761980663730,0.001,814292.65,0.999,1504571.92,0.5,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5186188.0,4780204.559999999,9966392.559999999,28.772
