timestamp,timestamp_ms,best_bid_price,best_bid_size,best_ask_price,best_ask_size,mid_price,spread,bid_levels,ask_levels,total_bid_size,total_ask_size
2025-11-01 00:00:05.221,1761980405221,0.001,814292.65,0.999,1504571.92,0.5,0.998,183,56,5182542.060000001,4766304.759999999
2025-11-01 00:00:15.531,1761980415531,0.001,814292.65,0.999,1504571.92,0.5,0.998,183,55,5184302.820000001,4765972.599999999
2025-11-01 00:00:21.868,1761980421868,0.001,814292.65,0.999,1504571.92,0.5,0.998,184,55,5180541.56,4764250.05
2025-11-01 00:00:24.111,1761980424111,0.001,814292.65,0.999,1504571.92,0.5,0.998,183,55,5180358.850000001,4764250.05
2025-11-01 00:00:51.875,1761980451875,0.001,814292.65,0.999,1504571.92,0.5,0.998,184,55,5182083.83,4764573.69
2025-11-01 00:01:02.027,1761980462027,0.001,814292.65,0.999,1504571.92,0.5,0.998,184,55,5181930.220000001,4764582.57
2025-11-01 00:01:19.897,1761980479897,0.001,814292.65,0.999,1504571.92,0.5,0.998,184,55,5180880.220000001,4764504.77
2025-11-01 00:01:20.951,1761980480951,0.001,814292.65,0.999,1504571.92,0.5,0.998,184,55,5181058.220000001,4764832.18
2025-11-01 00:01:29.721,1761980489721,0.001,814292.65,0.999,1504571.92,0.5,0.998,184,56,5180676.57,4820613.2700000005
2025-11-01 00:01:38.035,1761980498035,0.001,814292.65,0.999,1504571.92,0.5,0.998,184,56,5181176.57,4818734.090000001
2025-11-01 00:01:55.515,1761980515515,0.001,814292.65,0.999,1504571.92,0.5,0.998,184,56,5180742.58,4818739.090000001
2025-11-01 00:02:05.676,1761980525676,0.001,814292.65,0.999,1504571.92,0.5,0.998,184,56,5172013.31,4824064.070000001
2025-11-01 00:02:23.614,1761980543614,0.001,814292.65,0.999,1504571.92,0.5,0.998,184,56,5180993.23,4828243.090000001
2025-11-01 00:02:40.617,1761980560617,0.001,814292.65,0.999,1504571.92,0.5,0.998,184,56,5181428.86,4829887.5
2025-11-01 00:02:40.624,1761980560624,0.001,814292.65,0.999,1504571.92,0.5,0.998,184,56,5181428.86,4829620.04
2025-11-01 00:02:43.725,1761980563725,0.001,814292.65,0.999,1504571.92,0.5,0.998,183,57,5174308.149999999,4827849.28
2025-11-01 00:02:48.103,1761980568103,0.001,814292.65,0.999,1504571.92,0.5,0.998,183,56,5183836.520000001,4828982.88
2025-11-01 00:03:28.641,1761980608641,0.001,814292.65,0.999,1504571.92,0.5,0.998,183,56,5183531.53,4780217.289999999
2025-11-01 00:03:54.958,1761980634958,0.001,814292.65,0.999,1504571.92,0.5,0.998,183,56,5184382.98,4775495.199999999
2025-11-01 00:04:23.730,1761980663730,0.001,814292.65,0.999,1504571.92,0.5,0.998,184,55,5186188.0,4780204.559999999
2025-11-01 00:04:28.087,1761980668087,0.001,814292.65,0.999,1504571.92,0.5,0.998,184,55,5189089.699999999,4778717.139999999
2025-11-01 00:04:34.339,1761980674339,0.001,814292.65,0.999,1504571.92,0.5,0.998,184,55,5188018.9399999995,4778555.389999999
2025-11-01 00:04:36.692,1761980676692,0.001,814292.65,0.999,1504571.92,0.5,0.998,184,55,5188018.9399999995,4770766.1499999985
2025-11-01 00:04:38.892,1761980678892,0.001,814292.65,0.999,1504571.92,0.5,0.998,184,55,5187751.4799999995,4770766.1499999985
2025-11-01 00:04:40.199,1761980680199,0.001,814292.65,0.999,1504571.92,0.5,0.998,183,56,5186278.649999999,4771033.6099999985
2025-11-01 00:04:44.176,1761980684176,0.001,814292.65,0.999,1504571.92,0.5,0.998,183,56,5187367.740000001,4772605.079999999
2025-11-01 00:04:57.713,1761980697713,0.001,814292.65,0.999,1504571.92,0.5,0.998,183,55,5186405.0,4779746.119999999
2025-11-01 00:05:25.117,1761980725117,0.001,814292.65,0.999,1504571.92,0.5,0.998,183,56,5186230.0,4780028.879999999
2025-11-01 00:05:34.625,1761980734625,0.001,814292.65,0.999,1504571.92,0.5,0.998,183,56,5186650.92,4780028.879999999
2025-11-01 00:06:01.087,1761980761087,0.001,814292.65,0.999,1503655.17,0.5,0.998,183,56,5190101.25,4780351.129999999
2025-11-01 00:06:02.969,1761980762969,0.001,814292.65,0.999,1503655.17,0.5,0.998,183,56,5189867.74,4780351.129999999
2025-11-01 00:06:07.677,1761980767677,0.001,814292.65,0.999,1503655.17,0.5,0.998,183,56,5189472.74,4780791.409999999
2025-11-01 00:06:13.694,1761980773694,0.001,814292.65,0.999,1503655.17,0.5,0.998,183,56,5189472.74,4780788.219999999
2025-11-01 00:06:14.959,1761980774959,0.001,814292.65,0.999,1503655.17,0.5,0.998,183,56,5189472.74,4780779.549999999
2025-11-01 00:06:34.492,1761980794492,0.001,814292.65,0.999,1503655.17,0.5,0.998,183,55,5189472.74,4779777.429999999
2025-11-01 00:06:59.915,1761980819915,0.001,814292.65,0.999,1503655.17,0.5,0.998,184,55,5190766.68,4777922.419999999
2025-11-01 00:07:01.460,1761980821460,0.001,814292.65,0.999,1503655.17,0.5,0.998,184,55,5190716.68,4777901.419999999
2025-11-01 00:07:12.298,1761980832298,0.001,814292.65,0.999,1504733.67,0.5,0.998,183,55,5190572.96,4779059.919999999
2025-11-01 00:07:14.830,1761980834830,0.001,814292.65,0.999,1504733.67,0.5,0.998,183,56,5190258.5,4780929.289999999
2025-11-01 00:07:21.611,1761980841611,0.001,814292.65,0.999,1504733.67,0.5,0.998,183,56,5189980.48,4780699.409999999
2025-11-01 00:08:12.673,1761980892673,0.001,814292.65,0.999,1504733.67,0.5,0.998,183,56,5189408.180000001,4778541.509999999
2025-11-01 00:08:17.053,1761980897053,0.001,814292.65,0.999,1504733.67,0.5,0.998,183,56,5189508.180000001,4778931.939999999
2025-11-01 00:08:52.158,1761980932158,0.001,814292.65,0.999,1504733.67,0.5,0.998,183,56,5185978.130000001,4777017.219999998
2025-11-01 00:08:59.731,1761980939731,0.001,814292.65,0.999,1504733.67,0.5,0.998,184,55,5186339.070000001,4776858.159999998
2025-11-01 00:10:18.605,1761981018605,0.001,814292.65,0.999,1504764.67,0.5,0.998,183,55,5187253.2299999995,4831985.739999998
2025-11-01 00:10:25.658,1761981025658,0.001,814292.65,0.999,1504764.67,0.5,0.998,183,55,5187259.82,4833818.7299999995
2025-11-01 00:10:37.903,1761981037903,0.001,814292.65,0.999,1504764.67,0.5,0.998,183,55,5184947.180000001,4826720.199999998
2025-11-01 00:10:47.789,1761981047789,0.001,814292.65,0.999,1504764.67,0.5,0.998,183,54,5187672.72,4781126.739999998
2025-11-01 00:10:48.994,1761981048994,0.001,814292.65,0.999,1504764.67,0.5,0.998,183,54,5187446.68,4781126.739999998
2025-11-01 00:10:57.304,1761981057304,0.001,814292.65,0.999,1504764.67,0.5,0.998,183,55,5185881.91,4781226.409999999
2025-11-01 00:10:59.904,1761981059904,0.001,814292.65,0.999,1504764.67,0.5,0.998,183,55,5185455.36,4781231.409999999
2025-11-01 00:11:42.055,1761981102055,0.001,814292.65,0.999,1504764.67,0.5,0.998,183,55,5185575.36,4781661.819999999
2025-11-01 00:11:58.646,1761981118646,0.001,814292.65,0.999,1504764.67,0.5,0.998,183,56,5185327.69,4782738.519999999
2025-11-01 00:12:06.049,1761981126049,0.001,814292.65,0.999,1504764.67,0.5,0.998,183,56,5188109.110000001,4782738.519999999
2025-11-01 00:12:10.682,1761981130682,0.001,814292.65,0.999,1504764.67,0.5,0.998,183,56,5188109.110000001,4782735.329999998
2025-11-01 00:12:20.612,1761981140612,0.001,814292.65,0.999,1504764.67,0.5,0.998,183,56,5187709.110000001,4782720.419999999
2025-11-01 00:12:46.666,1761981166666,0.001,814292.65,0.999,1504764.67,0.5,0.998,183,56,5188106.110000001,4782485.959999999
2025-11-01 00:13:51.923,1761981231923,0.001,814292.65,0.999,1504764.67,0.5,0.998,184,56,5189289.240000001,4782827.029999999
2025-11-01 00:14:03.859,1761981243859,0.001,814292.65,0.999,1504764.67,0.5,0.998,184,56,5188872.240000001,4782823.839999999
2025-11-01 00:14:22.522,1761981262522,0.001,814292.65,0.999,1504764.67,0.5,0.998,184,56,5192933.7,4783501.569999998
2025-11-01 00:14:35.790,1761981275790,0.001,814292.65,0.999,1504764.67,0.5,0.998,184,56,5192804.84,4783501.569999998
2025-11-01 00:15:01.628,1761981301628,0.001,814292.65,0.999,1504764.67,0.5,0.998,184,56,5192804.84,4783267.809999999
2025-11-01 00:15:12.510,1761981312510,0.001,814292.65,0.999,1504764.67,0.5,0.998,184,56,5188144.1899999995,4776056.749999998
2025-11-01 00:15:23.982,1761981323982,0.001,814292.65,0.999,1504764.67,0.5,0.998,185,55,5192414.66,4773125.109999999
2025-11-01 00:15:35.816,1761981335816,0.001,814292.65,0.999,1504764.67,0.5,0.998,185,55,5189933.639999999,4766757.519999999
2025-11-01 00:15:40.400,1761981340400,0.001,814292.65,0.999,1504764.67,0.5,0.998,185,56,5181944.659999999,4811823.02
2025-11-01 00:15:47.808,1761981347808,0.001,814292.65,0.999,1504764.67,0.5,0.998,185,56,5192882.599999999,4824758.41
2025-11-01 00:15:59.158,1761981359158,0.001,814292.65,0.999,1504764.67,0.5,0.998,185,56,5191937.459999998,4824599.149999999
2025-11-01 00:16:06.245,1761981366245,0.001,814292.65,0.999,1504764.67,0.5,0.998,185,55,5191773.689999999,4823572.4799999995
